bho,hin,removal_reasons
केन-घड़ियाल आ सोन-घड़ियाल अभयारण्यन के प्रबंधन घड़ियाल आ मगर के संरक्षण खातिर कइल जाला।,केन-घड़ियाल और सोन-घड़ियाल अभयारण्यों का प्रबंधन घड़ियाल और मगर के संरक्षण के लिए किया जाता है।,true_duplicate
ई हवाई मार्ग आ बंदरगाह के माध्यम से अन्य देशन से भी जुड़ल बा।,यह हवाई मार्ग और बंदरगाहों के माध्यम से अन्य देशों से भी जुड़ा हुआ है।,true_duplicate
"एकरा अलावा, जीएसआरटीसी द्वारा प्रदान कईल जाए वाला कई गो सेवा बा।","इसके अलावा, जी.एस.आर.टी.सी. द्वारा प्रदान की जाने वाली कई सेवाएँ हैं।",true_duplicate
गुवाहाटी उच्च न्यायालय के एगो सर्किट बेंच 1974 से शिलांग में काम करत बा।,गुवाहाटी उच्च न्यायालय की एक सर्किट बेंच 1974 से शिलांग में काम कर रही है।,true_duplicate
ई मध्य प्रदेश के सभसे ऊँच जलप्रपात हवे।,यह मध्य प्रदेश का सबसे ऊँचा जलप्रपात है।,true_duplicate
ई क्षेत्र दमन आ दीव आ दादरा आ नगर हवेली के निर्वाचन क्षेत्र में बाँटल गइल बा।,यह क्षेत्र दमन और दीव और दादरा और नगर हवेली के निर्वाचन क्षेत्रों में विभाजित है।,true_duplicate
एकर कारण ग्रामीण क्षेत्र में अत्यधिक गरीबी बा।,इसका कारण ग्रामीण क्षेत्रों में अत्यधिक गरीबी है।,true_duplicate
"राज्य में नागा लोग के संख्या लगभग 18 लाख बा, जे 90 से अधिका आबादी के गठन करेला।","राज्य में नागा लोगों की संख्या लगभग 18 लाख है, जो 90 से अधिक आबादी का गठन करती है।",true_duplicate
रामायण में जब राम आ सीता अयोध्या लौट आइलें त लोग दीपावली मनावलें आ एकर छठवां दिन रामराज्य के स्थापना भइल।,रामायण में जब राम और सीता अयोध्या लौटे तो लोगों ने दीपावली मनाई और इसके छठे दिन रामराज्य की स्थापना हुई।,true_duplicate
उत्तर दक्कन के सातवाहन वंश अउरी पश्चिमी क्षत्रपों के शक वंश पहिला से तीसरी शताब्दी ईस्वी के दौरान मध्य प्रदेश के नियंत्रण खातिर लड़े।,उत्तरी दक्कन के सातवाहन वंश और पश्चिमी क्षत्रपों के शक वंश ने पहली से तीसरी शताब्दी ईस्वी के दौरान मध्य प्रदेश के नियंत्रण के लिए लड़ाई लड़ी।,true_duplicate
परिगलित ऊतक के हटावल के पांच गो तरीका बाटे।,परिगलित ऊतक को हटाने के पाँच तरीके हैं।,true_duplicate
इला भट्ट के 1985 में भारत सरकार द्वारा पद्म श्री के नागरिक सम्मान आ 1986 में पद्म भूषण से भी सम्मानित कइल गइल।,इला भट्ट को 1985 में भारत सरकार द्वारा पद्म श्री के नागरिक सम्मान और 1986 में पद्म भूषण से भी सम्मानित किया गया था।,true_duplicate
राज्य के जलवायु शुष्क उप-मृच्छ से लेके अर्ध-शुष्क तक बाटे।,राज्य की जलवायु शुष्क उप-आर्द्र से लेकर अर्ध-शुष्क तक है।,true_duplicate
केने या नागा कुश्ती एगो लोक कुश्ती शैली आ नागा के पारंपरिक खेल बाटे।,केने या नागा कुश्ती एक लोक कुश्ती शैली और नागाओं का पारंपरिक खेल है।,true_duplicate
1967 के चुनाव में गठबंधन बड़ी संख्या में सीट जीत लिहलस।,1967 के चुनाव में गठबंधन ने बड़ी संख्या में सीटें जीतीं।,true_duplicate
"आज ई निवास, जेकरा के अब 'राष्ट्रपति भवन' के हिंदी नाम से जानल जाला, भारत के राष्ट्रपति द्वारा उपयोग कइल जाला।","आज यह निवास, जिसे अब 'राष्ट्रपति भवन' के हिंदी नाम से जाना जाता है, भारत के राष्ट्रपति द्वारा उपयोग किया जाता है।",true_duplicate
नर्मदा नदी के बहुत पवित्र मानल जाला आ पूरा क्षेत्र में एकर पूजा कइल जाला।,नर्मदा नदी को बहुत पवित्र माना जाता है और पूरे क्षेत्र में इसकी पूजा की जाती है।,true_duplicate
"राज्य में संस्कृति आ परंपरा के संरक्षण के उद्देश्य से अतिरिक्त आधिकारिक भाषा में गुरुंग, लिम्बु, मगर, मुखिया, नेवार, राय, शेरपा आ तमांग शामिल बा।","राज्य में संस्कृति और परंपरा के संरक्षण के उद्देश्य से अतिरिक्त आधिकारिक भाषाओं में गुरुंग, लिम्बु, मगर, मुखिया, नेवार, राय, शेरपा और तमांग शामिल हैं।",true_duplicate
पुरान समय में दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दादा दा,"पुराने समय में दामादों को असली गायें उपहार के रूप में मिलती थी, क्योंकि यह सबसे कीमती संपत्ति थी जिसके साथ एक नवविवाहित जोड़ा जीवन शुरू कर सकता था",ratio_too_low
अंग्रेजी के एगो आम भाषा के रूप में विभिन्न जातीय आ जनसांख्यिकीय समूह में बोलल जाला।,विभिन्न जातीय और जनसांख्यिकीय समूहों में अंग्रेजी एक आम भाषा के रूप में बोली जाती है।,true_duplicate
चंडीगढ़ में कई गो पेड़न के शहर के प्राकृतिक विरासत के दर्जा दिहल गइल बा।,चंडीगढ़ में कई पेड़ों को शहर की प्राकृतिक विरासत का दर्जा दिया गया है।,true_duplicate
मध्य प्रदेश के प्रशासनिक प्रयोजन खातिर 52 गो जिला में बाँटल गइल बा।,मध्य प्रदेश प्रशासनिक उद्देश्यों के लिए 52 जिलों में विभाजित है।,true_duplicate
एकरा बाद चौथा विश्व बौद्ध सम्मेलन में हिस्सा लेबे खातिर ऊ नेपाल के काठमांडू गइलें।,इसके बाद उन्होंने चौथे विश्व बौद्ध सम्मेलन में भाग लेने के लिए नेपाल के काठमांडू की यात्रा की।,true_duplicate
"ऊ गांधी के एगो चिट्ठी लिखलन आ चिट्ठी के आदान-प्रदान के बाद, गांधी भावे के अहमदाबाद के कोचराब आश्रम में एगो व्यक्तिगत बैठक ला आवे के सलाह दिहलन।","उन्होंने गांधी को एक पत्र लिखा और पत्रों के आदान-प्रदान के बाद, गांधी ने भावे को अहमदाबाद के कोचराब आश्रम में एक व्यक्तिगत बैठक के लिए आने की सलाह दी।",true_duplicate
1957 में दुसरका आम चुनाव के समय तक अम्बेडकर के मौत हो चुकल रहे।,1957 में दूसरे आम चुनाव के समय तक अम्बेडकर की मृत्यु हो चुकी थी।,true_duplicate
लोक गीत आ नृत्य पारंपरिक नागा संस्कृति के आवश्यक तत्व हवे।,लोक गीत और नृत्य पारंपरिक नागा संस्कृति के आवश्यक तत्व हैं।,true_duplicate
"झारखंड के भौगोलिक क्षेत्रफल 7,970,000 हेक्टेयर बाटे।","झारखंड का भौगोलिक क्षेत्र 7,970,000 हेक्टेयर है।",true_duplicate
छठी शताब्दी ईसा पूर्व में भारतीय शहरीकरण के दुसर लहर के दौरान उज्जैन शहर एह क्षेत्र में एगो प्रमुख केंद्र के रूप में उभरा।,छठी शताब्दी ईसा पूर्व में भारतीय शहरीकरण की दूसरी लहर के दौरान उज्जैन शहर इस क्षेत्र में एक प्रमुख केंद्र के रूप में उभरा।,true_duplicate
हर जनजाति के एगो या एक से अधिका भाषा होला जवन दुसर के समझ में ना आवेला.,प्रत्येक जनजाति की एक या एक से अधिक बोलियाँ होती हैं जो दूसरों की समझ में नहीं आती हैं।,true_duplicate
पुडुचेरी यूटी में पीआरटीसी बसन के महत्वपूर्ण भूमिका बाटे।,पी.आर.टी.सी बसें पुडुचेरी यू.टी. में महत्वपूर्ण भूमिका निभाती हैं।,true_duplicate
साल में मुख्य रूप से चार छठ मनावल जाला।,वर्ष में मुख्य रूप से चार छठ मनाई जाती हैं।,true_duplicate
"इ साम्राज्य के उदय से कुशल प्रशासन, विदेशी व्यापार आ वाणिज्य के जन्म आ ""चलुक्य वास्तुकला"" नामक वास्तुकला के एगो नया शैली के विकास भइल।","इस साम्राज्य के उदय ने कुशल प्रशासन, विदेशी व्यापार और वाणिज्य का जन्म और ""चालुक्य वास्तुकला"" नामक वास्तुकला की नई शैली का विकास देखा।",true_duplicate
चौथी शताब्दी के एरियन विवाद में क्रिसमस के भूमिका रहल।,क्रिसमस ने चौथी शताब्दी के एरियन विवाद में भूमिका निभाई।,true_duplicate
रूस में बाल दिवस 1 जून के मनावल जाला।,रूस में बाल दिवस 1 जून को मनाया जाता है।,true_duplicate
ई प्राथमिक आ माध्यमिक विद्यालय के बच्चा लोग खातिर एगो सार्वजनिक अवकाश बाटे।,यह प्राथमिक और माध्यमिक विद्यालय के बच्चों के लिए एक सार्वजनिक अवकाश है।,true_duplicate
2011 के जनगणना के हिसाब से नागालैंड में 20 लाख लोग रहे।,2011 की जनगणना के अनुसार नागालैंड में 20 लाख लोग रहते हैं।,true_duplicate
हैदराबाद राज्य के 1948 में ऑपरेशन पोलो के साथे भारतीय संघ में एकीकृत कइल गइल।,हैदराबाद राज्य को 1948 में ऑपरेशन पोलो के साथ भारतीय संघ में एकीकृत किया गया था।,true_duplicate
"शहर के हिंदी अखबारन में नवभारत टाइम्स, हिंदुस्तान दैनिक, पंजाब केसरी, पवित्र भारत, दैनिक जागरण, दैनिक भास्कर, अमर उजाला आ दैनिक देशबंधु शामिल बा।","शहर के हिंदी समाचार पत्रों में नवभारत टाइम्स, हिंदुस्तान दैनिक, पंजाब केसरी, पवित्र भारत, दैनिक जागरण, दैनिक भास्कर, अमर उजाला और दैनिक देशबंधु शामिल हैं।",true_duplicate
"भारतीय प्रायद्वीप के सबसे दक्खिन छोर कन्याकुमारी बाटे, जे अरब सागर, बंगाल की खाड़ी आ हिंद महासागर के मिलन बिंदु बाटे।","भारतीय प्रायद्वीप का सबसे दक्षिणी छोर कन्याकुमारी है, जो अरब सागर, बंगाल की खाड़ी और हिंद महासागर का मिलन बिंदु है।",true_duplicate
ई ज्यादातर चीन-तिब्बती भाषा परिवार से संबंधित बाटे।,ये ज्यादातर चीन-तिब्बती भाषा परिवार से संबंधित हैं।,true_duplicate
कई शताब्दियन तक माणिक्य राजवंश द्वारा शासित आधुनिक त्रिपुरा के क्षेत्र ब्रिटिश साम्राज्य के संरक्षण के तहत एगो स्वतंत्र राज्य के हिस्सा रहल।,माणिक्य राजवंश द्वारा कई शताब्दियों तक शासित आधुनिक त्रिपुरा का क्षेत्र ब्रिटिश साम्राज्य के संरक्षण के तहत एक स्वतंत्र रियासत का हिस्सा था।,true_duplicate
केरल में एकरा के संक्रांति या मकर संक्रांति कहल जाला।,केरल में इसे संक्रांति या मकर संक्रांति कहा जाता है।,true_duplicate
राजा अली शेर खान अंचन के नेतृत्व में बाल्टी आक्रमण के दौरान कई बौद्ध मंदिर आ कलाकृतियन के नुकसान हो गइल।,राजा अली शेर खान अंचन के नेतृत्व में बाल्टी आक्रमण के दौरान कई बौद्ध मंदिरों और कलाकृतियों को क्षतिग्रस्त कर दिया गया था।,true_duplicate
"सिक्किम विश्वविद्यालय 2008 में यांगंग में काम शुरू कइलस, जे सिंघाटन से लगभग 28 किलोमीटर दूर स्थित बा।","सिक्किम विश्वविद्यालय ने 2008 में यांगंग में काम करना शुरू किया, जो सिंगताम से लगभग 28 किलोमीटर की दूरी पर स्थित है।",true_duplicate
अली शेर खान राजा आ उनकर सैनिकन के बंदी बना लिहले।,अली शेर खान ने राजा और उसके सैनिकों को बंदी बना लिया।,true_duplicate
राज्य में लगभग 750 प्रजाति के पक्षी आ 200 से अधिक प्रजाति के स्तनधारियन बाड़े।,राज्य में पक्षियों की लगभग 750 प्रजातियाँ और स्तनधारियों की 200 से अधिक प्रजातियाँ हैं।,true_duplicate
"युद्ध के अंतिम साल में कामराज से नेहरू, सरदार वल्लभभाई पटेल आ मौलाना अबुल कलाम आजाद राजगोपालाचारी के मद्रास प्रेसीडेंसी के प्रीमियर बनावे के अनुरोध कइलें।","युद्ध के अंतिम वर्षों के दौरान, कामराज से नेहरू, सरदार वल्लभभाई पटेल और मौलाना अबुल कलाम आज़ाद द्वारा राजगोपालाचारी को मद्रास प्रेसीडेंसी का प्रीमियर बनाने का अनुरोध किया गया था।",true_duplicate
"एकरे अलावा गिर पहाड़ियन, बरदा, जेसोर आ चोटिला मिल के गुजरात के एगो बड़हन अल्पसंख्यक वर्ग बनवले बाड़े।","इसके अलावा गिर पहाड़ियाँ, बरदा, जेसोर और चोटिला मिलकर गुजरात का एक बड़ा अल्पसंख्यक वर्ग बनाते हैं।",true_duplicate
अपना दुसरका कीपर आर्थर हिंद के कर्ज पर देबे के बाद भी टीम 24-1 से जीत दर्ज कइलस।,"अपने दूसरे कीपर आर्थर हिंद को लोन पर देने के बाद भी, टीम ने 24-1 से जीत दर्ज की।",true_duplicate
"ई आध्यात्मिक, वीरतापूर्ण, विचारशील, गुणात्मक, नैतिक ज्ञान के समावेशी या गीत-संगीत के संयोजन के एगो गंभीर रूप हवे।","यह आध्यात्मिक, वीरतापूर्ण, विचारशील, गुणी, नैतिक ज्ञान को समाहित करने वाला या गीत-संगीत संयोजन का एक गंभीर रूप है।",true_duplicate
तब ऊ आपन संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय संगीतमय,फिर वह कॉन्सर्ट में अपने दोस्तों से अंतिम बार मुलाकात करती है।,ratio_too_low
तीन या चार इंच के ब्लेड मुर्गन के गोड़ से बांधल जाला आ जीत के फैसला घमसान लड़ाई के तीन या चार पार के बाद कइल जाला।,तीन या चार इंच के ब्लेड मुर्गों के पैरों से बांध दिए जाते हैं और विजेता का फैसला घमासान लड़ाई की तीन या चार पारियों के बाद किया जाता है।,true_duplicate
बॉलीवुड हंगामा के तरण आदर्श एकरा 2.5 सितारा दिहलें.,बॉलीवुड हंगामा के तरण आदर्श ने इसे 2.5 सितारे दिए।,true_duplicate
गर्व आ जीवित रहे के विडंबना भरल कहानी तब शुरू होला जब खतरा से बचने के कोशिश में उ लोग एक दूसरा से टकरा के एक दूसरा से टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरा के साथ टकरा के एक दूसरे के साथ टकरा के एक दूसरे के साथ टकरा के एक दूसरे के साथ टकरा के एक दूसरे के साथ टकरा के एक दूसरे के साथ टकरा के एक दूसरे के साथ टकरा के एक दूसरे के साथ टकरा के एक दूसरे के साथ टकरा के एक दूसरे के साथ टकरा के एक,"अभिमान और जीवित बचने की विडंबना भरी कहानी तब शुरू होती है जब खतरे से बचने की कोशिश में, वे एक-दूसरे से टकराते हैं।",ratio_too_low
मुख्य सचिव के अध्यक्षता वाला सचिवालय मंत्रिपरिषद के सहायता करेला।,मुख्य सचिव की अध्यक्षता वाला सचिवालय मंत्रिपरिषद की सहायता करता है।,true_duplicate
मुख्य सचिव सरकार के प्रशासनिक प्रमुख भी होला।,मुख्य सचिव सरकार का प्रशासनिक प्रमुख भी होता है।,true_duplicate
उ इहो कहलन कि मतभेद निजी क्षेत्र में बा।,उन्होंने यह भी कहा कि मतभेद निजी क्षेत्र में हैं।,true_duplicate
भारत के जूनियर थ्रोबॉल टीम 1982 में श्रीलंका के दौरा कइलस।,भारत की जूनियर थ्रोबॉल टीम ने 1982 में श्रीलंका का दौरा किया था।,true_duplicate
"रस्साकशी के उत्पत्ति अनिश्चित बा, लेकिन ई खेल कंबोडिया, प्राचीन मिस्र, यूनान, भारत अउरी चीन में प्रचलित रहल।","रस्साकशी की उत्पत्ति अनिश्चित है, लेकिन यह खेल कंबोडिया, प्राचीन मिस्र, यूनान, भारत और चीन में प्रचलित था",true_duplicate
एकरे बाद 1975 में सिक्किम के विलय भइल।,इसके बाद 1975 में सिक्किम का विलय हुआ।,true_duplicate
दुश्मन इकाइयन के एगो बड़ समूह के मारल हमेशा एगो ना-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न-न,दुश्मन इकाइयों के एक बड़े समूह को मारने का हमेशा कोई-न-कोई तरीका होता है।,ratio_too_low
ई 1947 में बनावल गइल पहिला क्षेत्र कोड में से एगो रहे।,यह 1947 में बनाए गए पहले क्षेत्र कोडों में से एक था।,true_duplicate
ई 1947 में बनावल गइल पहिला क्षेत्र कोड में से एगो रहे।,यह 1947 में बनाए गए पहले क्षेत्र कोडों में से एक था।,true_duplicate
ई 1947 में बनावल गइल पहिला क्षेत्र कोड में से एगो रहे।,यह 1947 में बनाए गए पहले क्षेत्र कोडों में से एक था।,true_duplicate
